symbol	MDA-MB-436	LU-01-1157	LU-01-0030	CO-04-0310	BR-05-0014E	BR-05-0022	BR-05-0028	BR-05-0020E	OV-10-0060	OV-10-0079	22RV1	CO-04-0003	HN-13-0032	LI-03-0014	LU-01-1388	LU-01-1116	ST-02-0360	ST-02-0393
CROT	2.959252563169483	1.613266712264115	5.241123770313351	0.37930453282906973	2.456998792705606	0.0	2.232395488913399	2.3639272755281238	0.4900566621251716	3.2986097872609847	6.246946598083429	3.0014670517472477	3.648067060126213	5.075965557947904	4.095415331341639	2.268792276791644	1.059721843940384	4.050743054966735
PTHLH	1.2012249013633636	4.48856790743026	6.696706129956052	1.1291294023913887	0.5810436048900142	0.12063261295609849	5.275145031704345	1.7851879117545113	4.960497367163639	2.782148870164413	2.693389008054712	0.5496107394507148	9.32504382707775	0.0	7.274483896824559	0.0	0.17343715427054177	0.1575241991094509
CLEC7A	0.003589215099112791	1.3729380154479938	2.848775474035054	0.03967769555918581	4.321933946726116	0.711393944844796	4.904434956362902	4.265822766771951	0.0	2.643893398970743	0.0	0.0	3.1240490897060575	0.4284574783402092	4.981971975508297	0.0	0.0732781030661126	0.0
AZGP1	0.5225302887705109	0.22913735382783887	2.4863750051723343	6.507784759698553	11.546927546204401	6.765709862143094	10.526974310511527	7.2029990344077435	1.2353301608904559	0.03878155272577391	6.8075090094291895	3.9315512774187837	1.799039792498319	9.731745386183588	0.083417514189171	0.7528616569944345	6.720653190857163	7.212543668936034
IGF2	0.46358762527506087	2.369502178402616	8.915811871355281	0.07850523136997606	0.06495456361882972	0.0	0.0	0.05938108586221296	1.4200465986829094	0.19571051138545587	0.27952926446007237	0.19571051138545587	1.127565845953332	0.20160438446413825	10.474553191112935	3.3715415677944307	0.0732781030661126	1.3579979194973262
SPRR2D	1.4866080455409323	0.7164443011526012	9.018226532277419	0.37930453282906973	0.0	0.0	0.0	0.0	3.2274767268257385	1.9522495071629935	0.0	0.0	11.822935664759726	0.0	7.235865820083451	0.0	0.0	0.0
SGCE	5.5446116347666505	5.674534823927674	4.825575040381771	0.0	6.685845933680611	2.717395228506005	4.106151164520774	4.916276916482468	4.458754878546947	1.687592316815814	5.95953408011889	0.0	4.261831318668153	5.9897266940345695	5.728848317486783	5.48141614538658	0.0	0.9489945954814453
CXCL1	7.024802950537384	4.08233800361219	4.8251736601164845	6.778164698420746	1.1996752835463547	2.9617639497105106	2.217817027662311	1.2774119383113622	0.6708462327880831	9.977591151404159	0.4755321948859378	6.53630961620094	2.7544376891841673	1.587613755783314	6.779341700868333	0.0	4.6034908958589575	3.8069780002196083
CALML5	0.0	0.0	5.908062843659504	0.2015983505881157	10.000240119381605	9.000722077103163	10.85905628047975	10.106589269593194	1.9184215125820268	0.068992344780531	0.05459043077971251	0.0	5.915225745357699	0.0	0.7199360202186624	0.0	2.180614645184351	0.0
PCSK1N	4.616983226606738	6.624841040917264	2.801029830461653	1.8785642570319365	7.166484442313955	0.5396708213370818	5.908062843659504	3.88289939547559	0.4900566621251716	0.7819070896606876	1.595990056077949	0.0	0.0	0.7019862293414123	6.086417554559599	7.755524795407478	0.0	0.0
GCNT3	2.1174514543695047	3.4861093261997973	0.4932005753223557	7.428917921806053	0.0	0.24502620355941085	0.05076780505488972	0.0	0.6708462327880831	3.661913501850203	0.1309393353470024	5.6292362569955605	2.2349327061637125	0.7721834303943768	0.45193921813318294	0.1421856986355076	5.258610686238587	8.482738248150739
ACSL5	0.3671337357163696	6.441287988187275	2.0405340791001865	6.851322116555669	0.7480944545840539	1.570548750923515	2.0217280111796785	0.29758755532773784	3.802592101832746	4.721254831710912	0.6038521091657363	6.358414311419918	0.8653587757347616	5.342977477050119	0.9690907058336339	0.11861560636636519	6.088030625506928	7.397881519811595
AXIN2	1.554629290791825	1.6301541207492234	0.0570344734900183	6.931325340012716	0.6803617602198675	2.5316304423827387	1.8922649417125852	0.26565230705032455	7.715368235621002	0.39852281065375234	1.4824341921993276	7.4443171834640385	0.0	0.4479937434146097	0.07130819130395481	4.765138981677717	1.90405225609422	2.0132253611998734
GJB6	0.05270844885665018	0.0	6.364609765705607	0.0	1.5560785549934784	0.18961010153339306	0.5463093885005388	0.012204919170642262	0.8905023976525283	3.7413927923682007	0.05459043077971251	1.2142152827011894	8.977092618781091	3.4436636053511234	6.435455843170833	0.0	0.17343715427054177	0.7813026371762285
CTAG1B	0.003589215099112791	0.014421016366836946	0.0	0.0	0.06495456361882972	6.38355530781114	0.03496999274728103	0.0	8.261579388278824	0.0	6.147388795198409	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANXA2	10.992915957102186	10.992915957102186	11.109814159702621	10.264451442929477	8.516152708392404	11.65069044104714	10.317925814605493	9.977591151404159	10.106589269593194	11.614605590334389	3.436099439735136	10.34613352405856	11.25943372071846	6.403114709467357	11.822935664759726	6.947148256364103	11.614605590334389	12.893313109139807
TMEM45A	4.704188449335424	4.492809415524442	6.948758145134077	0.07850523136997606	9.268296538935836	5.2838045911437925	6.282810402982975	4.177850395029114	1.339186987737057	0.30034670397088514	3.315308321032525	0.6768233324784645	4.171043476573447	4.498626795414928	6.714104887015125	0.49470619945095884	2.618985256522105	2.240050568868793
IRF8	2.9573151670717355	0.6728241072816704	0.30941784115971255	4.939250958180981	0.0	0.06379325956762409	0.03496999274728103	0.25533151826868433	1.3579979194973262	6.137565659917723	0.029076775584143892	5.973206318152773	0.32661460578303914	2.3159578504639304	0.27334236709475795	0.0	5.771142116966044	5.410313916930254
IL32	8.338427309550575	3.234396355770131	4.9305442777549215	7.636242320619167	2.2124175515009576	5.539238822039836	4.5527296741762155	6.779341700868333	2.8511235783345055	8.895592185477103	0.2305618948529901	5.795757378868517	4.2998194376557	5.1455337431395	6.109408032203985	0.456117718087234	7.548251997410873	8.599177033161014
MAPK11	1.8255362980021816	0.4900566621251716	4.456058155335688	0.37930453282906973	3.0951304887295614	1.5056251624653558	2.716536515377775	3.6846188986661748	2.2496673507197875	4.179593415907081	5.16894322539737	2.007451674181203	3.312472574855348	4.089245742345187	4.163254923302616	5.1630054123006195	1.2447113029947714	0.5319560099267517
ADAMTS9	4.083264271856751	0.15116857391350347	0.022394691951269488	0.23933939468375184	1.61073441575391	4.615826227374203	2.2269293934332395	0.6600574900312679	0.07546761280578558	5.736289053026063	0.2629442618652471	0.8441714225366064	0.1666309316137822	1.131034723780763	0.19254690482846157	0.0	0.0	1.1685411540822281
ALB	0.4383851537498281	0.0	0.3354798424244636	0.6987971017441912	0.46139480015967993	0.32558446608365466	1.0753496670221303	0.4883053785369344	0.0	0.0	9.146969643914012	1.7116435406215695	1.5923367668187134	13.576993429238184	0.0	0.4074544371903349	0.0	3.825382659203148
BEX4	3.039845011601168	5.582692048579738	3.184304607923807	0.0	0.0	0.0	5.6864311061821295	4.664537962427762	0.0	1.9402923542676076	4.162865332792628	0.0	0.0	4.809738918731074	2.176865336363263	5.965298972558749	0.2914479226922044	0.5835863597984067
TFF3	0.35332723513594355	4.389581053765469	1.959529556218751	7.364951425028402	0.3022816823895348	0.8689914941005659	0.0	0.0	6.9124686225352425	1.7182912924846818	0.16231315154111306	7.761586139162071	1.1432816855388033	0.5810850093356824	0.12832357311518142	11.024372189201358	8.482738248150739	9.042709497644308
CERS4	4.49542368473055	3.8505305345040575	6.022392065539748	2.0977710853635063	6.1160906504664645	4.450808992962992	5.756028574165111	5.66664087028778	0.37930453282906973	2.680802037599931	1.4701192843814586	0.0	5.712421415613104	4.767158415580088	4.50206198154975	6.469082903951293	0.9726147442220314	0.0
GALNT6	4.5630606169832	6.843943712101234	4.588051008333394	5.812732524943489	4.246761147510997	5.501551283029126	3.5104211217735135	4.46306288102728	4.768248185146817	5.332968482515342	0.3246389111187206	4.8232841267394875	5.458461484022884	0.4808663161942655	2.877631446020417	1.5589011109651432	4.3557149640651485	5.122223463040144
LGALS3	6.770713757351202	7.787253604774118	8.80305157669778	10.22598355438621	7.336370599299343	8.048170534979413	6.214440863078302	7.977173287632831	8.148519330483214	9.461274404835518	0.668339172847989	11.168937493283835	8.466367044057016	5.207888347583836	9.534410925007785	0.5388593562566544	10.70056748506123	9.050000224467263
LYPD1	2.1814431726376906	3.292711878399479	0.6469928175974751	0.0	0.221101736686713	4.9999695630334315	0.8184300759185379	2.7755823484218376	6.889927662096739	1.9126968970032086	0.0015950325530077777	0.0	0.7130236509486336	4.151092705351356	0.8024847924636584	1.7721389993526655	0.5601508699192294	0.0
